Merchantnumber,recency,frequency,monetary_value
62006362004311,1,11,11183191
62006362004315,0,14,968449004
62006362004332,0,83,43895004
62006362004333,0,28,54116004
62006362004341,0,104,216180513
62006362004342,10,47,5025017
62006362004344,21,1,1004
62006362004364,0,21,124285000
62006362004372,0,176,913991004
62006362004376,0,26,164635555
62006362004405,0,22,173831004
62006362004406,0,181,177001004
62006362004410,0,17,159202009
62006362004413,0,140,27627628
62006362004421,0,124,31402487
62006362004425,1,649,173964004
62006362004427,0,37,164743008
62006362004434,0,9,59001004
62006362004453,1,7,9851004
62006362004456,1,159,64911012
62006362004490,1,28,2825504
62006362004502,0,33,2784015
62006362004504,0,87,98131004
62006362004505,0,108,73106004
62006362004514,0,120,78794004
62006362004517,1,125,41902604
62006362004518,0,76,1958004
62006362004523,0,1089,507526004
62006362004525,0,81,7638013
62006362004542,0,99,35293205
62006362004543,4,1,1004
62006362004550,0,183,113366004
62006362004571,3,12,8081004
62006362004575,0,39,28911004
62006362004587,0,11,155021004
62006362004593,1,28,90951504
62006362004597,0,4,17701004
62006362004599,6,5,100501004
62006362004608,0,18,67301004
62006362004626,11,3,3012
62006362004638,0,39,402401004
62006362004642,2,27,2312009
62006362004643,0,212,36148504
62006362004654,0,18,126521004
62006362004670,4,5,3504016
62006362004672,0,90,48991004
62006362004680,0,63,103608004
62006362004691,5,15,1042662004
62006362004701,0,43,17288854
62006362004703,0,71,24019004
62006362004747,0,25,15139004
62006362004749,0,136,292876004
62006362004751,0,38,984125504
62006362004766,1,18,593381004
62006362004772,1,17,925409004
62006362004779,1,64,168382004
62006362004781,0,54,4615004
62006362004782,0,51,171051004
62006362004793,0,308,78518004
62006362004797,3,3,3051
62006362004799,11,3,332011
62006362004803,0,13,66061004
62006362004804,28,1,2500000
62006362004815,0,55,16152004
62006362004816,5,4,7301004
62006362004818,1,8,1037730513
62006362004819,12,61,43806004
62006362004824,0,15,10913004
62006362004830,0,18,5301004
62006362004853,2,1,1004
62006362004866,0,103,43061004
62006362004870,3,4,12551004
62006362004880,0,68,52401004
62006362004881,1,2,2008
62006362004913,20,1,1004
62006362004927,1,19,295634001
62006362004928,17,7,444501004
62006362004937,0,18,114801004
62006362004941,13,6,4361004
62006362004958,0,31,45361004
62006362004962,3,8,2366004
62006362004977,5,12,3244004
62006362004978,29,1,300000
62006362004985,0,153,100398004
62006362004991,0,9,81004
62006362004998,5,50,122531004
62006362005000,28,1,1004
62006362005003,0,176,496931004
62006362005006,0,360,122849013
62006362005010,0,8,192241004
62006362005012,14,1,1004
62006362005015,0,43,196851004
62006362005017,1,22,30501004
62006362005018,0,36,411031004
62006362005022,0,3,14500000
62006362005027,0,30,82271004
62006362005028,3,5,200001004
62006362005044,4,14,21891004
62006362005056,0,6,2132008
62006362005077,5,18,31351004
62006362005080,0,168,160451004
62006362005083,8,25,9276004
62006362005084,0,13,18586004
62006362005085,10,21,3841004
62006362005088,1,11,101004
62006362005092,4,1,1004
62006362005101,0,247,246011004
62006362005106,0,183,59225004
62006362005124,10,6,101906004
62006362005133,0,92,424741004
62006362005142,0,32,13676004
62006362005148,0,28,30681004
62006362005159,14,35,50301004
62006362005162,21,1,1004
62006362005168,0,210,62656004
62006362005181,0,41,106921004
62006362005183,7,4,16351004
62006362005189,0,67,9820004
62006362005224,0,20,911201004
62006362005228,0,27,555753004
62006362005237,0,7,603316004
62006362005246,3,19,18836004
62006362005250,0,24,5671004
62006362005254,1,6,401004
62006362005257,0,63,31671004
62006362005259,1,1,1004
62006362005267,0,39,1775004
62006362005277,0,279,125941004
62006362005285,0,46,113110802
62006362005287,0,50,13153004
62006362005305,1,24,34221004
62006362005307,0,56,81201004
62006362005309,1,11,27823666
62006362005313,0,105,39128009
62006362005342,29,1,1004
62006362005347,2,1,1004
62006362005348,14,1,1004
62006362005353,13,3,220000
62006362005356,0,167,37424561
62006362005364,11,1,1004
62006362005372,0,80,45956004
62006362005379,0,72,164426004
62006362005385,0,94,27266000
62006362005387,0,19,51783030
62006362005402,1,59,49071004
62006362005408,0,9,38981004
62006362005409,0,101,22042004
62006362005425,0,9,99216293
62006362005432,1,19,18273012
62006362005433,3,65,36061004
62006362005452,1,128,56671004
62006362005455,0,16,321505004
62006362005460,1,15,3842008
62006362005466,20,1,1004
62006362005473,11,1,1004
62006362005475,0,102,63989008
62006362005494,13,2,7000000
62006362005497,3,6,618000000
62006362005514,4,29,119890004
62006362005525,0,373,162624004
62006362005534,1,12,294591004
62006362005535,1,10,97501004
62006362005558,0,331,74158513
62006362005561,0,83,505511012
62006362005569,1,21,2587501004
62006362005573,13,14,27631004
62006362005579,11,85,25916004
62006362005582,0,70,27436004
62006362005587,0,87,30830004
62006362005593,3,11,18632004
62006362005594,13,27,6881004
62006362005596,5,50,250001004
62006362005606,0,121,37275004
62006362005622,3,1,1004
62006362005624,19,1,1004
62006362005626,0,37,86081004
62006362005629,0,44,129201004
62006362005633,1,9,10271004
62006362005675,0,87,432485004
62006362005702,1,31,15576004
62006362005707,3,24,312271004
62006362005718,12,1,1004
62006362005720,0,42,85561004
62006362005726,19,21,11621004
62006362005735,3,7,601004
62006362005741,9,6,156371004
