Merchantnumber,recency,frequency,monetary_value
062006362003960,1,440,1469450559
062006362003970,2,1267,227504512
062006362003986,30,28,32833012
062006362003993,26,15,244453012
062006362003994,12,18,3800003012
062006362003998,1,234,847270512
062006362004000,15,4,13012
062006362004008,17,238,288256314
062006362004019,1,295,3654609682
062006362004024,93,1,1004
062006362004032,3,4,4016
062006362004033,3,8,6031
062006362004040,5,21,342798016
062006362004041,1,158,750593012
062006362004053,4,93,407175912
062006362004056,4,287,882710142
062006362004058,1,1189,2961192798
062006362004067,31,3,3012
062006362004086,3,1070,515776521
062006362004087,1,204,970653012
062006362004093,8,340,185482012
062006362004114,3,34,14994012
062006362004119,1,461,169539012
062006362004138,3,98,23495016
062006362004148,1,320,110818012
062006362004160,1,652,114783512
062006362004173,8,14,10352008
062006362004174,1,866,249213012
062006362004177,1,553,271165017
062006362004191,3,39,239284012
062006362004192,1,520,171916027
062006362004209,4,22,117873012
062006362004211,23,107,126085012
062006362004224,3,79,58817012
062006362004233,1,182,313878012
062006362004237,3,60,8373012
062006362004247,25,34,45428567
062006362004248,3,131,96329512
062006362004252,11,17,143085770
062006362004254,3,132,391933012
062006362004256,31,3,3012
062006362004258,1,893,64860012
062006362004262,15,15,16594012
062006362004270,3,42,7978012
062006362004275,1,4,13012
062006362004287,1,395,68547017
062006362004288,1,130,57523012
062006362004296,1,344,152368012
062006362004311,5,78,21503493
062006362004315,4,79,2238392020
062006362004332,1,197,150808016
062006362004333,31,39,55063012
062006362004341,5,239,259337521
062006362004342,2,236,34812025
062006362004344,12,39,11383012
062006362004364,1,90,413575000
062006362004372,1,482,1529449512
062006362004376,1,70,6053499750
062006362004405,4,64,681193012
062006362004406,1,638,461536012
062006362004410,3,69,626210017
062006362004413,1,533,68758645
062006362004421,1,445,167211495
062006362004425,7,1022,259400017
062006362004427,3,101,475512516
062006362004434,4,39,116813012
062006362004453,14,34,36518012
062006362004456,3,507,211233020
062006362004462,81,2,2007
062006362004490,18,117,22355512
062006362004502,1,108,18023032
062006362004504,1,304,272903012
062006362004505,1,247,351160517
062006362004514,1,287,193766012
062006362004517,1,486,191314614
062006362004518,1,329,9940012
062006362004523,1,3186,1159226022
062006362004525,1,229,20175021
062006362004542,1,280,96138455
062006362004543,3,3,3012
062006362004550,1,561,379433012
062006362004571,5,53,24184012
062006362004575,1,546,411943002
062006362004587,5,44,908523012
062006362004593,18,93,176838512
062006362004597,7,16,35153012
062006362004599,5,58,383203012
062006362004608,1,67,274158012
062006362004611,9,1,1004
062006362004626,11,11,75020
062006362004638,1,93,768233012
062006362004642,4,51,3584017
062006362004643,1,386,69138517
062006362004654,3,40,235873012
062006362004670,2,35,1919514054
062006362004672,1,317,104309012
062006362004680,1,483,236424012
062006362004689,1,17,17789008
062006362004691,5,53,1134009012
062006362004701,3,77,25396862
062006362004703,1,238,89578012
062006362004747,1,66,40952312
062006362004749,1,355,876435012
062006362004751,1,117,3106276612
062006362004766,11,88,2209263012
062006362004772,8,42,2331549520
062006362004779,1,202,407545025
062006362004781,3,167,18046012
062006362004782,1,225,807493012
062006362004793,16,687,207547512
062006362004797,1,36,3800059
062006362004799,1,24,1829019
062006362004803,3,47,174888012
062006362004804,48,3,2500000
062006362004815,10,119,26083112
062006362004816,28,16,221824012
062006362004818,1,65,1561712521
062006362004819,1,172,117448012
062006362004824,4,52,93020212
062006362004830,1,57,8298012
062006362004853,2,3,3012
062006362004866,2,334,191338012
062006362004870,5,17,141463012
062006362004880,1,252,346393012
062006362004881,31,3,3012
062006362004913,28,3,3012
062006362004927,1,74,1370883198
062006362004928,29,17,1043123012
062006362004933,3,1,1100000
062006362004935,71,5,5021
062006362004937,3,50,271133012
062006362004941,1,749,402851012
062006362004958,1,142,189103012
062006362004962,1,35,9548012
062006362004977,37,17,4168008
062006362004978,61,7,4550000
062006362004985,1,504,651628512
062006362004990,15,1,1004
062006362004991,1,104,1203012
062006362004998,1,142,273646025
062006362005000,60,3,3012
062006362005003,1,414,1382233008
062006362005006,1,1223,292332025
062006362005007,1,77,635923009
062006362005010,3,62,8453353012
062006362005012,13,13,1440325774
062006362005015,1,156,732583012
062006362005017,5,38,99388012
062006362005018,1,86,687153012
062006362005022,1,37,112600000
062006362005027,3,106,254984012
062006362005028,10,11,250203012
062006362005044,1,54,104981012
062006362005056,1,128,131759556
062006362005077,1,66,110273012
062006362005080,2,697,532259012
062006362005083,1,109,38527012
062006362005084,1,51,52148012
062006362005085,3,95,19763012
062006362005088,17,40,16823012
062006362005092,17,5,83012
062006362005101,1,635,549362036
062006362005106,1,634,190339012
062006362005124,6,23,145880012
062006362005133,5,188,709503012
062006362005142,1,76,27263012
062006362005148,1,84,82704012
062006362005159,26,122,198203012
062006362005162,16,6,6012
062006362005168,1,575,144163012
062006362005181,1,147,262496345
062006362005183,3,15,39253012
062006362005189,1,257,37688012
062006362005224,4,87,1450104017
062006362005228,1,73,1027132020
062006362005237,19,34,6031718012
062006362005246,1,75,114219012
062006362005250,4,96,55373012
062006362005254,3,31,1214012
062006362005257,1,309,226090020
062006362005259,31,4,823012
062006362005267,1,128,8371012
062006362005277,5,426,1187073012
062006362005285,1,213,373124899
062006362005287,1,155,34557012
062006362005305,1,96,89073012
062006362005307,1,210,223692012
062006362005309,3,60,82225674
062006362005313,1,206,75721021
062006362005342,23,4,4016
062006362005347,2,3,3012
062006362005348,25,13,20606033
062006362005353,45,7,1350000
062006362005356,1,475,92458877
062006362005364,31,5,8004012
062006362005372,1,276,260313012
062006362005379,1,300,562373012
062006362005385,1,431,216532008
062006362005387,7,27,122795038
062006362005402,12,125,75134016
062006362005408,2,31,41083012
062006362005409,1,277,55125012
062006362005425,7,29,249380700
062006362005432,1,58,21895336
062006362005433,1,166,99463012
062006362005452,1,496,223489012
062006362005455,2,40,743107012
062006362005460,2,57,10615516
062006362005466,5,8,60724012
062006362005473,9,12,18525012
062006362005475,1,356,142319516
062006362005494,7,10,17001004
062006362005497,4,22,1838072800
062006362005514,18,32,269892012
062006362005525,21,722,375560012
062006362005534,16,28,502293012
062006362005535,1,38,470798012
062006362005558,1,946,191480525
062006362005561,1,163,706300020
062006362005569,1,66,5031829012
062006362005573,18,27,33984016
062006362005579,12,235,83518012
062006362005582,1,173,64263012
062006362005587,1,333,76886512
062006362005593,2,123,67984012
062006362005594,1,331,96163012
062006362005596,3,152,780003012
062006362005606,1,343,196310012
062006362005622,1,26,4249012
062006362005624,14,5,1683012
062006362005626,3,134,219297012
062006362005629,7,163,395063012
062006362005633,2,44,132173012
062006362005675,4,262,909157812
062006362005702,12,68,43628012
062006362005707,1,86,884183012
062006362005718,1,169,166353012
062006362005720,1,136,201833012
062006362005726,51,276,147913008
062006362005735,4,31,17753012
062006362005741,4,48,432868394
062006362005742,3,71,383804016
062006362005745,1,116,10692512
062006362005751,15,28,523154016
062006362005752,1,5087,659305013
062006362005767,1,761,966513012
062006362005781,1,165,105928012
062006362005792,36,167,1159667008
062006362005794,1,30,59633012
062006362005804,1,4,4019
062006362005805,1,112,2273012
062006362005806,1,420,43303929
062006362005816,6,402,24244012
062006362005819,30,136,22263012
062006362005825,1,1361,864463926
062006362005829,28,13,3516025
062006362005847,1,95,23263012
062006362005848,1,221,24658012
062006362005852,1,303,1039323012
062006362005855,1,55,133344017
062006362005870,3,3,3012
062006362005871,2,861,168119012
062006362005873,1,147,20354012
062006362005876,3,89,99004012
062006362005877,1,975,300231012
062006362005878,20,83,67360536
062006362005881,1,528,347493038
062006362005886,3,61,66573017
062006362005896,1,162,1193683092
062006362005910,2,144,7686012
062006362005911,1,77,13485703012
062006362005921,1,233,19143512
062006362005929,42,6,2162000
062006362005933,29,4,4016
062006362005937,23,18,527016
062006362005938,1,947,325753030
062006362005939,1,211,147700020
062006362005970,1,68,128653012
062006362005971,1,47,436958012
062006362005972,1,2605,967339435
062006362005976,1,420,128079012
062006362005979,1,11,2122008
062006362005988,1,128,401925212
062006362006004,16,449,240476012
062006362006017,3,327,36063512
062006362006035,3,60,26129016
062006362006040,1,318,140998012
062006362006042,4,123,21239016
062006362006045,1,398,93308012
062006362006056,24,26,363623012
062006362006060,1,137,453068012
062006362006061,30,71,53673012
062006362006063,1,256,95595034
062006362006081,1,143,30078907
062006362006084,1,128,749503012
062006362006091,25,378,284730644
062006362006110,18,70,3869012
062006362006111,18,4,4012
062006362006116,2,402,40144012
062006362006118,1,18,64699019
062006362006119,2,63,354403012
062006362006132,3,434,124490012
062006362006133,1,116,392124028
062006362006134,1,60,8852012
062006362006135,1,62,238613012
062006362006136,1,126,64794012
062006362006137,1,410,119109008
062006362006149,1,79,433814013
062006362006156,3,93,1109774016
062006362006167,1,134,579148012
062006362006172,9,3,3012
062006362006177,14,27,76803012
062006362006178,1,54,76870012
062006362006181,14,637,118416512
062006362006184,1,40,71581357
062006362006187,3,83,109638012
062006362006189,1,256,49643012
062006362006193,5,26,5823012
062006362006196,16,37,218323012
062006362006200,41,21,14990000
062006362006201,20,85,286435016
062006362006207,32,714,1708812008
062006362006210,11,17,14016
062006362006216,24,131,45760012
062006362006224,1,884,208703512
062006362006228,18,13,103012
062006362006230,4,28,62997012
062006362006237,1,584,206601115
062006362006238,1,120,20908012
062006362006243,18,3,3012
062006362006247,1,2544,876063112
062006362006258,1,312,126002012
062006362006260,1,149,154368012
062006362006262,1,285,173339012
062006362006263,1,113,410138012
062006362006283,1,21,22783012
062006362006286,1,41,68633012
062006362006288,4,2,2012
062006362006292,5,13,227658012
062006362006296,1,90,45683012
062006362006305,33,2,2008
062006362006318,1,6,30004019
062006362006334,21,13,30253012
062006362006339,1,47,2755046184
062006362006342,1,82,1553603012
062006362006347,2,107,20199017
062006362006348,4,468,363824012
062006362006350,30,115,4138174016
062006362006353,1,854,1261344016
062006362006359,14,13,4063012
062006362006365,4,20,13033012
062006362006381,1,60,13893012
062006362006386,1,190,3424493406
062006362006389,19,8,53012
062006362006399,3,96,177788012
062006362006400,1,247,68525012
062006362006405,63,130,67783327
062006362006406,4,41,5733012
062006362006414,1,127,20581032
062006362006418,8,332,91600012
062006362006421,3,45,35013012
062006362006422,1,180,1041283012
062006362006433,1,1890,913048012
062006362006436,24,3,3009
062006362006437,1,98,29037012
062006362006444,4,16,137203012
062006362006447,3,65,98353012
062006362006448,2,121,328303236
062006362006454,1,140,29602012
062006362006457,1,120,98648012
062006362006459,1,109,3715823621
062006362006465,93,1,1004
